	Thermus_thermophilus_SG0.5JP17-16	Thermus_thermophilus_HB8T	Thermus_thermophilus_JL-18	Thermus_antranikianii_DSM_12462T	Thermus_thermophilus_HB27	Thermus_sediminis_L198	Thermus_thermamylovorans_CFH_72773T	Thermus_aquaticus_Y51MC23T	Thermus_amyloliquefaciens_YIM_77409T	Thermus_caldilimi_YIM_78456T	Thermus_oshimai_DSM_12092T	Thermus_tenuipuniceus_YIM_76954T	Thermus_tengchongensis_YIM_77401T	Thermus_caldifontis_YIM_73026T	Thermus_islandicus_DSM_21543T	Thermus_igniterrae_ATCC_700962T	Thermus_filiformis_ATCC_43280T	Thermus_arciformis_CGMCC_1.6992T	Thermus_caliditerrae_YIM_77777T	Thermus_composti_JCM_19902T	Thermus_parvatiensis_RL	Thermus_brockianus_GE-1T	Thermus_scotoductus_SA-01T
Thermus_caldifontis_YIM_73026T	0.8065939616175463	0.8072268830242512	0.8055875404312669	0.871261430295715	0.8072792092372287	0.8098075575715282	0.8234516741214059	0.8144769084745764	0.8701746032707449	0.8627504308390022	0.8028088817480721	0.8695093891797556	0.8556693838862559	1.0	0.8074548080949059	0.8277209907692309	0.7768939347990902	0.816985806253832	0.8341103030303032	0.8108013520933426	0.810343211143695	0.8177913046231791	0.8722611707595658
Thermus_islandicus_DSM_21543T	0.8378827576791809	0.842631133802817	0.8396708926174496	0.8106903342428378	0.8420063786008232	0.8382261009817671	0.8234797801418441	0.8466605747126437	0.8198548543689321	0.8067523593350384	0.8186391135734072	0.8074698670212765	0.8146301992287919	0.8077462666666666	1.0	0.8316360264900664	0.7914427210884354	0.8540635949367089	0.8186320053655266	0.8323522501699525	0.8374559569732938	0.824985127860027	0.8122031358189082
Thermus_igniterrae_ATCC_700962T	0.8331733571428572	0.8312908167330677	0.830370037243948	0.8382040117994102	0.832634327176781	0.8314928414948453	0.8432768460111316	0.8385258380771663	0.8414481932021468	0.8314199592786504	0.8224746670595168	0.8298649527744982	0.8397383729009843	0.8274095752427185	0.831995126541207	1.0	0.7959666991643454	0.8440248246118458	0.8435676042908223	0.8331064957264956	0.8396304622705643	0.8406317023675312	0.8310040334679747
Thermus_filiformis_ATCC_43280T	0.79843887732342	0.8011925400457667	0.8003161758241758	0.7799578903274943	0.8006370260223048	0.7887933482142857	0.7892564545454546	0.7971912916962385	0.7871076900796524	0.779740370909091	0.7970171478873239	0.7771816114790288	0.7862718110236222	0.7789595957284516	0.7909569676448459	0.7971090365682137	1.0	0.7992710906612135	0.7862033046594982	0.7982497883597884	0.8000017098039217	0.788957637630662	0.7811007747489239
Thermus_arciformis_CGMCC_1.6992T	0.8851261114476076	0.8910645735944409	0.8869843210621605	0.8226751503759399	0.8899274671669793	0.8411087209302326	0.8406926288659793	0.8447278980099502	0.8327968360556566	0.8221430221424296	0.8305605882352941	0.8196803448275861	0.8332515668202765	0.818018303516348	0.8538300126742712	0.843395970845481	0.7993370393374741	1.0	0.8314736195587358	0.8595992916400766	0.8764781842279655	0.8364182202380953	0.8245739255702281
Thermus_caliditerrae_YIM_77777T	0.8200901165980797	0.8201794197952219	0.8192119541778976	0.8400061448019802	0.8201480216070224	0.82063259602649	0.8580648131728943	0.8247853895274585	0.8577610639569636	0.8516236150234741	0.8144189120809614	0.84788664500886	0.9044961888509669	0.8340452615571776	0.818524012137559	0.8427649401913877	0.7861541981468283	0.831003928358209	1.0	0.8226038079019073	0.8221523546302943	0.8296044888082276	0.8425425665859565
Thermus_composti_JCM_19902T	0.8693355157766989	0.8616544105960264	0.8646712998160639	0.8132308333333335	0.8621419180754226	0.8253287880886427	0.8286376026490067	0.8330978880746169	0.8242966990291263	0.8107594622950819	0.8219942444593688	0.8134390040927695	0.8228696354166668	0.811834217032967	0.8336378499665104	0.8330805759162304	0.7998602649507949	0.8586842638623327	0.8226410190217393	1.0	0.8633815487316423	0.8379924445851803	0.8145354491803279
Thermus_parvatiensis_RL	0.9566377454968041	0.9515755453431372	0.95459353926097	0.8152918997175143	0.9510596971532406	0.8266911656891496	0.8232374762946755	0.835122454798331	0.8239434206798868	0.8113661527680448	0.8206812163096061	0.8121036549707603	0.8219450652920963	0.8103742836363637	0.8371440715883669	0.8401208707482993	0.8012225734157652	0.8777902700922268	0.8222982863340564	0.8637549898442789	1.0	0.8337375151108127	0.81814780945758
Thermus_brockianus_GE-1T	0.8261047881899871	0.8264570595939752	0.82497623043206	0.8228526871165645	0.8256560516129032	0.8224871024967149	0.8251979794740217	0.8279589981096408	0.82898946683199	0.8185495183624322	0.8163924653405666	0.8212789304812833	0.8255307257584771	0.8184268178954	0.8241417750677507	0.839501546866015	0.7884521748251748	0.8356873008323424	0.829084344410876	0.836651376440461	0.8311531753554502	1.0	0.8196702471368293
Thermus_scotoductus_SA-01T	0.8115302539062501	0.8099133791208791	0.8099860012878299	0.9472944031531533	0.8106769033130493	0.8109126730637424	0.8286049904640814	0.8186763901791639	0.8697735612366231	0.9222675174637291	0.8051963000000001	0.9188913269339355	0.8847050338983052	0.8717520045558087	0.8116722266139658	0.8301022472559215	0.7804097017045456	0.823003084279737	0.8416916596764529	0.8125840414507772	0.8167608149171273	0.8199095492788462	1.0
